epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1613.73,0.75788,3.12889,0.06529,0.67787,0.97036,0.82204,0.796,0.89594,0.68869,0.78213,0.66931,0.70801,0.33023,0.80964,2.97305,0.02211,0.70828,1.01167,0.000416,0.000416,0.000416
42,1656.46,0.74513,3.15236,0.0634,0.64746,0.97019,0.82885,0.81638,0.90412,0.70306,0.81837,0.66384,0.72252,0.32361,0.79099,2.91445,0.01897,0.70683,1.00485,0.0003764,0.0003764,0.0003764
43,1698.74,0.74067,2.96653,0.0696,0.62388,0.96932,0.86163,0.79237,0.90243,0.70176,0.79462,0.6822,0.7391,0.32904,0.78549,2.87366,0.01944,0.69487,1.00104,0.0003368,0.0003368,0.0003368
44,1741.32,0.71692,2.85571,0.05949,0.60242,0.95117,0.81656,0.82486,0.90008,0.70239,0.74817,0.68644,0.70899,0.32132,0.78055,2.88665,0.02153,0.69037,1.00229,0.0002972,0.0002972,0.0002972
45,1783.85,0.68153,2.78101,0.05884,0.60309,0.93263,0.82376,0.82486,0.89893,0.70476,0.7893,0.68785,0.72547,0.33919,0.77866,2.84024,0.01783,0.69629,1.00344,0.0002576,0.0002576,0.0002576
46,1825.8,0.688,2.76624,0.06567,0.63224,0.94237,0.83833,0.81638,0.90473,0.71712,0.77402,0.70339,0.74227,0.36656,0.75736,2.77639,0.01856,0.68562,0.99093,0.000218,0.000218,0.000218
47,1867.76,0.68081,2.80126,0.05802,0.57512,0.94323,0.84549,0.81638,0.90677,0.7134,0.76114,0.72012,0.74443,0.36374,0.75198,2.73267,0.01829,0.67285,0.99211,0.0001784,0.0001784,0.0001784
48,1908.69,0.69498,2.7951,0.05705,0.57177,0.94627,0.81199,0.83572,0.90295,0.71345,0.76297,0.70763,0.73363,0.3552,0.75274,2.71671,0.0191,0.67632,0.99205,0.0001388,0.0001388,0.0001388
49,1947.86,0.67882,2.6641,0.06362,0.56703,0.95923,0.85524,0.80945,0.90965,0.72034,0.79143,0.70056,0.74663,0.35322,0.74079,2.72239,0.0176,0.66918,0.98447,9.92e-05,9.92e-05,9.92e-05
50,1985.63,0.66426,2.66268,0.05928,0.5454,0.9334,0.84127,0.83092,0.91196,0.72493,0.77585,0.70887,0.74879,0.36703,0.74624,2.71264,0.01766,0.65813,0.9882,5.96e-05,5.96e-05,5.96e-05
