epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1775.3,0.94676,0.94671,0.00569,0.69589,0.61532,0.68415,0.52073,0.87337,0.95052,0.00829,0.000636762,0.000636762,0.000636762
58,1806.79,0.92174,0.91335,0.00532,0.64041,0.68788,0.70769,0.53307,0.88834,0.96998,0.00848,0.000622615,0.000622615,0.000622615
59,1837.73,0.91905,0.91145,0.00595,0.65176,0.68653,0.69675,0.53669,0.86378,0.93711,0.00823,0.000608468,0.000608468,0.000608468
60,1868.64,0.94155,0.94751,0.00572,0.68056,0.61159,0.68607,0.52698,0.88152,0.97055,0.00837,0.000594321,0.000594321,0.000594321
61,1899.42,0.9405,0.9272,0.00571,0.62238,0.62381,0.62506,0.47581,0.86443,0.96239,0.00828,0.000580174,0.000580174,0.000580174
62,1930.1,0.9273,0.90527,0.00552,0.71406,0.61766,0.68784,0.53037,0.87517,0.93582,0.00845,0.000566027,0.000566027,0.000566027
63,1960.42,0.91178,0.8998,0.00569,0.68535,0.60876,0.65164,0.50413,0.87069,0.943,0.00813,0.00055188,0.00055188,0.00055188
64,1990.81,0.92048,0.90644,0.00534,0.63946,0.62569,0.6549,0.49929,0.87314,0.95435,0.00835,0.000537733,0.000537733,0.000537733
65,2021.14,0.9435,0.9089,0.00554,0.60098,0.66923,0.67789,0.52569,0.86272,0.92118,0.00827,0.000523586,0.000523586,0.000523586
66,2051.87,0.92177,0.91323,0.00542,0.70147,0.61415,0.67747,0.51732,0.85293,0.94534,0.008,0.000509438,0.000509438,0.000509438
67,2410.48,0.92824,0.93087,0.00577,0.71535,0.61851,0.69403,0.5306,0.85145,0.94096,0.00809,0.000495291,0.000495291,0.000495291
68,2442.19,0.88392,0.88471,0.00538,0.71135,0.6159,0.67664,0.52203,0.85255,0.98389,0.00811,0.000481144,0.000481144,0.000481144
69,2472.75,0.8989,0.88691,0.0052,0.67769,0.64454,0.69181,0.5261,0.84863,0.9447,0.00788,0.000466997,0.000466997,0.000466997
70,2503.69,0.91042,0.8977,0.0055,0.61301,0.64458,0.66506,0.5076,0.83264,0.99563,0.00768,0.00045285,0.00045285,0.00045285
71,2535,0.91058,0.88564,0.00558,0.59272,0.6544,0.67247,0.51603,0.84532,0.97044,0.00809,0.000438703,0.000438703,0.000438703
72,2566.22,0.91789,0.88712,0.00527,0.5661,0.69086,0.6448,0.5002,0.85366,0.99716,0.00821,0.000424556,0.000424556,0.000424556
73,2596.94,0.89096,0.82126,0.00511,0.64162,0.59996,0.64136,0.49403,0.84312,1.00462,0.00798,0.000410409,0.000410409,0.000410409
74,2627.79,0.89673,0.8553,0.0053,0.6406,0.61674,0.64027,0.49513,0.8432,0.98192,0.00785,0.000396262,0.000396262,0.000396262
75,2658.79,0.89399,0.83919,0.00539,0.62816,0.71099,0.66356,0.51067,0.85266,0.98963,0.00777,0.000382115,0.000382115,0.000382115
76,2689.9,0.90333,0.86938,0.00565,0.59149,0.67004,0.64219,0.49375,0.84597,0.96197,0.00774,0.000367967,0.000367967,0.000367967
77,2721.56,0.9132,0.87705,0.00539,0.53646,0.71053,0.64096,0.4929,0.85354,1.02571,0.00793,0.00035382,0.00035382,0.00035382
78,2752.64,0.87057,0.8293,0.00515,0.45359,0.69757,0.62503,0.47907,0.84253,0.97261,0.0079,0.000339673,0.000339673,0.000339673
79,2783.79,0.86676,0.80777,0.00501,0.53712,0.59195,0.6282,0.48469,0.85611,0.97875,0.00791,0.000325526,0.000325526,0.000325526
80,2814.76,0.8655,0.80432,0.00499,0.53624,0.71781,0.63489,0.49168,0.83763,1.00918,0.00763,0.000311379,0.000311379,0.000311379
81,2845.57,0.87418,0.8075,0.00536,0.57398,0.72079,0.65368,0.50802,0.83795,0.97959,0.00766,0.000297232,0.000297232,0.000297232
82,2876.49,0.88116,0.83534,0.00519,0.54656,0.72971,0.6668,0.5209,0.8301,0.95343,0.00766,0.000283085,0.000283085,0.000283085
83,2907.33,0.86117,0.79224,0.00492,0.51707,0.7353,0.64821,0.49872,0.83572,0.98344,0.00756,0.000268938,0.000268938,0.000268938
84,2938.32,0.83759,0.77975,0.00493,0.52072,0.6897,0.64194,0.49764,0.84645,0.9873,0.00786,0.000254791,0.000254791,0.000254791
85,2969.21,0.87878,0.82272,0.00521,0.53953,0.70706,0.63025,0.4842,0.84085,1.01689,0.00782,0.000240644,0.000240644,0.000240644
86,2999.61,0.83671,0.7756,0.00499,0.60029,0.6663,0.64981,0.499,0.83213,0.96369,0.00763,0.000226497,0.000226497,0.000226497
87,3030.33,0.8609,0.78815,0.00509,0.65354,0.6001,0.64841,0.50151,0.82983,0.97167,0.00765,0.000212349,0.000212349,0.000212349
88,3061.81,0.83256,0.75287,0.00487,0.66002,0.59092,0.67205,0.53139,0.82177,0.97472,0.00759,0.000198202,0.000198202,0.000198202
89,3092.97,0.84049,0.78105,0.00514,0.65513,0.59468,0.65027,0.50159,0.83372,0.95944,0.00788,0.000184055,0.000184055,0.000184055
90,3124.05,0.84561,0.80027,0.00514,0.61289,0.61297,0.6673,0.51574,0.82566,0.97227,0.00767,0.000169908,0.000169908,0.000169908
91,3153.49,0.7163,0.58574,0.00454,0.51604,0.69124,0.6261,0.47271,0.8671,1.02136,0.00813,0.000155761,0.000155761,0.000155761
92,3182.9,0.69897,0.56069,0.0045,0.51401,0.72501,0.62443,0.46942,0.86504,1.03719,0.00793,0.000141614,0.000141614,0.000141614
93,3212.34,0.70796,0.55853,0.00468,0.4915,0.64008,0.62567,0.47222,0.85667,1.034,0.008,0.000127467,0.000127467,0.000127467
