epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1165.84,0.85669,0.85669,1.01089,0.68651,0.79837,0.79826,0.5827,0.81657,0.87149,1.01841,0.000679204,0.000679204,0.000679204
55,1245.21,0.87562,0.8473,1.01607,0.70624,0.73076,0.74842,0.56758,0.84239,0.87922,1.02283,0.000665057,0.000665057,0.000665057
56,1334.52,0.84352,0.82997,0.9957,0.70534,0.76655,0.76045,0.57907,0.8004,0.84024,1.00318,0.000650909,0.000650909,0.000650909
57,1425.03,0.85724,0.82776,1.0094,0.67324,0.75176,0.75832,0.58039,0.83741,0.8461,1.02098,0.000636762,0.000636762,0.000636762
58,1514.51,0.83254,0.80404,0.99437,0.65163,0.78647,0.75808,0.57212,0.82771,0.82973,1.02168,0.000622615,0.000622615,0.000622615
59,1603.55,0.82288,0.79763,1.00612,0.81137,0.72698,0.78251,0.59295,0.80092,0.83473,1.00722,0.000608468,0.000608468,0.000608468
60,1693.9,0.84624,0.82462,1.00133,0.81688,0.67651,0.78809,0.59611,0.7904,0.82734,1.01894,0.000594321,0.000594321,0.000594321
61,1784.6,0.83119,0.80937,0.99777,0.73736,0.72346,0.77493,0.59566,0.80335,0.79174,1.01553,0.000580174,0.000580174,0.000580174
62,1874.94,0.83462,0.79689,0.99702,0.77681,0.73787,0.78994,0.59484,0.82415,0.83658,1.0323,0.000566027,0.000566027,0.000566027
63,1964.39,0.81508,0.79083,0.99325,0.70604,0.72797,0.76503,0.58504,0.82096,0.82492,1.02219,0.00055188,0.00055188,0.00055188
64,2054.35,0.82001,0.78519,0.99273,0.81451,0.6469,0.75367,0.57423,0.81843,0.834,1.02195,0.000537733,0.000537733,0.000537733
65,2145.65,0.85066,0.79051,0.99941,0.77054,0.7129,0.76696,0.57809,0.81146,0.82144,1.00993,0.000523586,0.000523586,0.000523586
66,2235.77,0.82427,0.78921,0.99273,0.68974,0.82274,0.78586,0.5939,0.81645,0.81557,1.01529,0.000509438,0.000509438,0.000509438
67,2324.9,0.84378,0.80175,1.01185,0.77478,0.70998,0.78161,0.58182,0.80928,0.81887,1.01551,0.000495291,0.000495291,0.000495291
68,2413.94,0.80458,0.77527,0.98312,0.71738,0.72913,0.76204,0.55674,0.81124,0.85504,1.01197,0.000481144,0.000481144,0.000481144
69,2502.87,0.80481,0.76331,0.9829,0.70899,0.74384,0.76572,0.58299,0.82199,0.83998,1.02604,0.000466997,0.000466997,0.000466997
70,2593.89,0.82572,0.79171,1.00078,0.70459,0.81664,0.78709,0.59863,0.8243,0.82487,1.02695,0.00045285,0.00045285,0.00045285
71,2684.28,0.8175,0.76666,0.99721,0.74261,0.79493,0.79458,0.60804,0.81563,0.81455,1.0149,0.000438703,0.000438703,0.000438703
72,2774.49,0.82564,0.76897,0.98845,0.73862,0.79576,0.78257,0.59216,0.81955,0.81513,1.02326,0.000424556,0.000424556,0.000424556
73,2864.14,0.78679,0.73025,0.97272,0.75513,0.79177,0.79267,0.60429,0.79765,0.80834,1.00894,0.000410409,0.000410409,0.000410409
74,2954.22,0.79235,0.73875,0.98024,0.80438,0.76846,0.79854,0.60461,0.78946,0.81631,1.00834,0.000396262,0.000396262,0.000396262
75,3044.31,0.78841,0.73303,0.98524,0.75182,0.7717,0.78653,0.59385,0.79883,0.82892,1.01013,0.000382115,0.000382115,0.000382115
76,3134.49,0.80491,0.74685,0.99685,0.64498,0.83961,0.77558,0.58546,0.81554,0.8392,1.02273,0.000367967,0.000367967,0.000367967
77,3224.61,0.81784,0.75917,0.99893,0.7855,0.77398,0.79844,0.606,0.81189,0.82347,1.01666,0.00035382,0.00035382,0.00035382
78,3313.55,0.76773,0.7196,0.97187,0.80526,0.77916,0.79272,0.5954,0.79999,0.81197,1.00997,0.000339673,0.000339673,0.000339673
79,3403.5,0.77998,0.71097,0.97196,0.8002,0.77897,0.78885,0.58936,0.80505,0.82388,1.0054,0.000325526,0.000325526,0.000325526
80,3492.76,0.7713,0.69998,0.96504,0.80973,0.76365,0.79669,0.59613,0.80347,0.82103,1.00803,0.000311379,0.000311379,0.000311379
81,3584.41,0.77341,0.72792,0.97282,0.78244,0.77393,0.79153,0.59691,0.80005,0.81854,1.00668,0.000297232,0.000297232,0.000297232
82,3675.15,0.77638,0.71256,0.97885,0.80193,0.77381,0.79975,0.61326,0.79471,0.82705,1.00898,0.000283085,0.000283085,0.000283085
83,3765.29,0.75598,0.69021,0.96656,0.79686,0.75964,0.79052,0.60365,0.79936,0.83521,1.0121,0.000268938,0.000268938,0.000268938
84,3855.32,0.75262,0.69093,0.96991,0.78948,0.7741,0.78997,0.59626,0.80454,0.82853,1.00981,0.000254791,0.000254791,0.000254791
85,3945.61,0.77363,0.71549,0.97749,0.80063,0.7641,0.78799,0.6041,0.80084,0.83798,1.00811,0.000240644,0.000240644,0.000240644
86,4036.14,0.73402,0.66936,0.96124,0.77259,0.77482,0.79117,0.60209,0.79542,0.8262,1.01708,0.000226497,0.000226497,0.000226497
87,4127.23,0.76145,0.67717,0.9695,0.79478,0.76223,0.79353,0.60923,0.80204,0.81998,1.01427,0.000212349,0.000212349,0.000212349
88,4217.74,0.73246,0.65587,0.95287,0.77945,0.75238,0.79105,0.59166,0.78764,0.82739,1.00607,0.000198202,0.000198202,0.000198202
89,4308.95,0.73611,0.66954,0.9626,0.77695,0.75435,0.78076,0.58552,0.79884,0.83476,1.00929,0.000184055,0.000184055,0.000184055
90,4398.81,0.74597,0.68312,0.9686,0.75752,0.77655,0.77034,0.58138,0.79773,0.83063,1.01137,0.000169908,0.000169908,0.000169908
91,4487.26,0.62736,0.54692,0.89531,0.74004,0.75904,0.75569,0.56204,0.81822,0.85181,1.01912,0.000155761,0.000155761,0.000155761
92,4574.57,0.62205,0.53731,0.89173,0.70712,0.78433,0.78245,0.58529,0.81032,0.83439,1.01418,0.000141614,0.000141614,0.000141614
93,4664.16,0.61466,0.52434,0.88785,0.69161,0.78001,0.7626,0.57545,0.80547,0.83697,1.01537,0.000127467,0.000127467,0.000127467
94,4753.13,0.61915,0.51769,0.89588,0.74316,0.76354,0.75255,0.57451,0.80166,0.83295,1.01269,0.00011332,0.00011332,0.00011332
95,4842,0.62053,0.50579,0.89713,0.73909,0.76241,0.75831,0.57687,0.80288,0.82145,1.01282,9.91726e-05,9.91726e-05,9.91726e-05
96,4930.01,0.60854,0.49904,0.88649,0.70667,0.79723,0.76159,0.5838,0.79166,0.82107,1.01076,8.50255e-05,8.50255e-05,8.50255e-05
97,5019.56,0.59485,0.49575,0.88347,0.75664,0.79065,0.77427,0.58612,0.79786,0.82504,1.01082,7.08784e-05,7.08784e-05,7.08784e-05
98,5107.87,0.59876,0.49111,0.88199,0.74495,0.79614,0.78204,0.59363,0.79513,0.82412,1.01013,5.67313e-05,5.67313e-05,5.67313e-05
99,5197.35,0.60049,0.49119,0.87446,0.76567,0.78179,0.78167,0.59315,0.79358,0.82473,1.00869,4.25842e-05,4.25842e-05,4.25842e-05
100,5286.62,0.59545,0.47992,0.88221,0.77565,0.77542,0.78413,0.59553,0.79493,0.82124,1.0092,2.84371e-05,2.84371e-05,2.84371e-05
