epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,4171.8,0.82204,0.74918,0.00472,0.67173,0.61358,0.67867,0.52138,0.83352,0.94778,0.0075,0.000254791,0.000254791,0.000254791
85,4225.75,0.8596,0.79404,0.00479,0.58128,0.67482,0.66842,0.5119,0.83321,0.96121,0.00755,0.000240644,0.000240644,0.000240644
86,4279.15,0.80974,0.72476,0.00444,0.63962,0.70745,0.67289,0.5148,0.85047,0.94843,0.00755,0.000226497,0.000226497,0.000226497
87,4331.66,0.85745,0.76606,0.00461,0.62283,0.66258,0.6676,0.51105,0.83033,0.96578,0.00742,0.000212349,0.000212349,0.000212349
88,4384.75,0.82698,0.73902,0.00451,0.63412,0.70281,0.66261,0.50905,0.83759,0.95393,0.00744,0.000198202,0.000198202,0.000198202
89,4438.18,0.85781,0.7686,0.00461,0.58575,0.69563,0.65104,0.49877,0.83102,0.96557,0.00731,0.000184055,0.000184055,0.000184055
90,4492.08,0.82546,0.77569,0.00466,0.57862,0.70337,0.65907,0.50452,0.82733,0.95531,0.00724,0.000169908,0.000169908,0.000169908
91,4542.76,0.6981,0.57206,0.00426,0.64926,0.69795,0.65889,0.49618,0.87168,0.99889,0.00777,0.000155761,0.000155761,0.000155761
92,4593.31,0.70313,0.54479,0.00425,0.60708,0.67058,0.64656,0.47683,0.89463,1.01713,0.00811,0.000141614,0.000141614,0.000141614
93,4643.23,0.71146,0.55058,0.00484,0.57479,0.63886,0.64586,0.47741,0.87615,1.02156,0.0078,0.000127467,0.000127467,0.000127467
94,4693.6,0.70483,0.53387,0.00411,0.54699,0.63757,0.62766,0.46994,0.87482,0.97914,0.00787,0.00011332,0.00011332,0.00011332
95,4744.74,0.69801,0.54655,0.00424,0.62387,0.57305,0.62161,0.46337,0.8759,0.98051,0.00781,9.91726e-05,9.91726e-05,9.91726e-05
96,4793.03,0.68774,0.50521,0.00393,0.63491,0.56707,0.63931,0.48565,0.8678,0.99512,0.00785,8.50255e-05,8.50255e-05,8.50255e-05
97,4838.94,0.68109,0.51247,0.00386,0.63857,0.61023,0.65034,0.49153,0.86427,0.99025,0.00768,7.08784e-05,7.08784e-05,7.08784e-05
98,4881.63,0.67037,0.50708,0.00392,0.5409,0.68723,0.64894,0.49102,0.86571,0.989,0.00771,5.67313e-05,5.67313e-05,5.67313e-05
99,4918.21,0.66701,0.49293,0.00367,0.53321,0.64295,0.65245,0.49449,0.86271,0.9792,0.00767,4.25842e-05,4.25842e-05,4.25842e-05
100,4955.72,0.67153,0.50705,0.00381,0.55568,0.71354,0.6486,0.49439,0.858,0.98228,0.00761,2.84371e-05,2.84371e-05,2.84371e-05
